State,"Median
income 2016 ","Standard
error 2016 ","Median
income 2015 ","Standard
error 2015","Median
income 2014","Standard
error 2014","Median
income 2013","Standard
error 2013","Median
income 2012","Standard
error 2012","Median
income 2011","Standard
error 2011","Median
income 2010","Standard
error 2010","Median
income 2009","Standard
error 2009","Median
income 2008","Standard
error 2008","Median
income 2007","Standard
error 2007","Median
income 2006","Standard
error 2006","Median
income 2005","Standard
error 2005","Median
income 2004","Standard
error 2004","Median
income 2003","Standard
error 2003","Median 
income 2002","Standard
error 2002","Median
income 2001","Standard
error 2001","Median
income 2000","Standard
error 2000"
Alabama,"47,221","2,301","44,509","3,419","42,278","1,529","47,320","5,511","43,464","2,529","42,590","2,021","40,933","2,396","39,980",904,"44,476","1,659","42,212","1,420","37,952","1,014","37,150","1,215","36,629","1,303","37,255","1,580","37,603","1,062","35,160","1,006","35,424","1,072"
Alaska,"75,723","4,086","75,112","3,485","67,629","3,153","72,472","5,446","63,648","2,839","57,431","3,710","57,848","2,390","61,604","1,751","63,989","2,302","62,993","1,583","56,418","1,495","55,891","1,331","55,063","2,071","51,837",981,"52,774","1,073","57,363","2,012","52,847","1,159"
Arizona,"57,100","1,971","52,248","2,008","49,254","2,304","52,611","4,365","47,044","2,922","48,621","2,424","46,896","2,227","45,739","1,241","46,914","1,125","47,215","1,555","46,657","1,246","45,245","1,271","43,846","1,143","41,166","1,422","39,734","1,003","42,704","1,441","39,783","1,210"
Arkansas,"45,907","2,165","42,798","1,572","44,922","2,546","39,376","2,402","39,018","2,812","41,302","1,849","38,587","2,464","36,538",909,"39,586","1,194","40,795","1,348","37,057",767,"36,658","1,309","34,984",994,"32,002",776,"32,387",778,"33,339","1,144","29,697",772
California,"66,637","1,075","63,636","1,711","60,487",894,"60,794","1,811","57,020","1,238","53,367","1,378","54,283","1,182","56,134",619,"57,014",829,"55,734",618,"55,319",695,"51,755",460,"49,222",660,"49,300",819,"47,437",766,"47,262",727,"46,816",686
Colorado,"70,566","4,125","66,596","3,682","60,940","2,414","67,912","4,129","57,255","2,708","58,629","2,553","60,233","2,481","55,930","1,595","60,943","1,898","61,141","1,014","55,697","1,524","50,449","1,287","50,886","1,590","49,940","1,158","48,294","1,464","49,397","1,190","48,240","1,237"
Connecticut,"75,923","3,404","72,889","4,449","70,161","2,665","69,291","3,238","64,247","2,853","65,415","3,014","65,998","2,095","64,851","2,308","64,682","2,701","64,141","2,049","62,404","2,162","56,835","1,633","55,100","1,648","54,965","1,561","53,387","1,370","53,347","1,240","50,172","1,357"
Delaware,"58,046","2,992","57,756","3,392","57,522","2,970","54,091","4,350","48,972","1,976","54,660","1,745","55,214","2,255","52,114","1,781","50,702","1,388","54,589","2,159","52,438","1,730","51,235","1,076","48,049","1,421","49,019","1,378","49,650","1,685","49,602","1,468","50,365","1,508"
D.C.,"70,982","2,734","70,071","2,861","68,277","4,402","60,057","5,529","65,246","3,671","55,251","2,109","56,928","3,333","53,141","2,088","55,590","1,763","50,783","1,097","48,477","1,679","44,993","2,167","43,451","1,864","45,044","1,418","39,070",995,"41,169","1,023","41,222","1,072"
Florida,"51,176",835,"48,825","1,395","46,140",950,"48,532","2,815","46,071","1,110","45,105","1,138","44,066","1,544","45,631",706,"44,857",858,"45,794",570,"45,676",629,"42,990",810,"40,535",632,"38,972",759,"38,024",828,"36,421",417,"38,856",743
Georgia,"53,527","1,679","50,768","1,401","49,555","2,009","46,992","4,236","48,121","1,504","45,973","2,483","44,117","1,822","43,340","1,256","46,227","1,164","48,641","1,078","49,344","1,210","45,926",838,"40,984",618,"42,438",979,"42,939","1,107","42,576","1,073","41,901",831
Hawaii,"72,133","2,510","64,514","2,840","71,223","2,676","64,235","3,918","56,263","2,255","59,047","2,531","59,539","2,731","55,649","2,023","61,521","1,481","64,022","2,125","60,470","1,571","59,586","1,212","56,242","1,690","51,834","1,332","47,303","1,371","47,439","1,256","51,546","1,193"
Idaho,"56,564","1,261","51,624","1,260","53,438","2,572","48,467","5,484","47,922","3,173","47,459","3,488","47,050","1,869","46,778","1,264","47,420","1,681","49,184","1,291","46,213","1,312","44,176","1,254","44,358","1,387","42,372",982,"37,715","1,121","38,241",966,"37,611","1,192"
Illinois,"61,386","1,761","60,413","1,999","54,916","1,625","53,937","3,287","51,738","1,328","50,637","1,374","50,728","1,474","52,870",941,"53,254","1,325","52,506",950,"48,671","1,167","48,398",986,"46,077",823,"45,153","1,072","42,710",856,"46,171",879,"46,064",966
