0,median_2016,st_2016,median_2015,st_2015,median_2014,st_2014,median_2013,st_2013,median_2012,st_2012,median_2011,st_2011,median_2010,st_2010,median_2009,st_2009,median_2008,st_2008,median_2007,st_2007,median_2006,st_2006,median_2005,st_2005,median_2004,st_2004,median_2003,st_2003,median_2002,st_2002,median_2001,st_2001,median_2000,st_2000
Alabama,47221,2301,44509,3419,42278,1529,47320,5511,43464,2529,42590,2021,40933,2396,39980,904,44476,1659,42212,1420,37952,1014,37150,1215,36629,1303,37255,1580,37603,1062,35160,1006,35424,1072
Alaska,75723,4086,75112,3485,67629,3153,72472,5446,63648,2839,57431,3710,57848,2390,61604,1751,63989,2302,62993,1583,56418,1495,55891,1331,55063,2071,51837,981,52774,1073,57363,2012,52847,1159
Arizona,57100,1971,52248,2008,49254,2304,52611,4365,47044,2922,48621,2424,46896,2227,45739,1241,46914,1125,47215,1555,46657,1246,45245,1271,43846,1143,41166,1422,39734,1003,42704,1441,39783,1210
Arkansas,45907,2165,42798,1572,44922,2546,39376,2402,39018,2812,41302,1849,38587,2464,36538,909,39586,1194,40795,1348,37057,767,36658,1309,34984,994,32002,776,32387,778,33339,1144,29697,772
California,66637,1075,63636,1711,60487,894,60794,1811,57020,1238,53367,1378,54283,1182,56134,619,57014,829,55734,618,55319,695,51755,460,49222,660,49300,819,47437,766,47262,727,46816,686
Colorado,70566,4125,66596,3682,60940,2414,67912,4129,57255,2708,58629,2553,60233,2481,55930,1595,60943,1898,61141,1014,55697,1524,50449,1287,50886,1590,49940,1158,48294,1464,49397,1190,48240,1237
Connecticut,75923,3404,72889,4449,70161,2665,69291,3238,64247,2853,65415,3014,65998,2095,64851,2308,64682,2701,64141,2049,62404,2162,56835,1633,55100,1648,54965,1561,53387,1370,53347,1240,50172,1357
Delaware,58046,2992,57756,3392,57522,2970,54091,4350,48972,1976,54660,1745,55214,2255,52114,1781,50702,1388,54589,2159,52438,1730,51235,1076,48049,1421,49019,1378,49650,1685,49602,1468,50365,1508
D.C.,70982,2734,70071,2861,68277,4402,60057,5529,65246,3671,55251,2109,56928,3333,53141,2088,55590,1763,50783,1097,48477,1679,44993,2167,43451,1864,45044,1418,39070,995,41169,1023,41222,1072
Florida,51176,835,48825,1395,46140,950,48532,2815,46071,1110,45105,1138,44066,1544,45631,706,44857,858,45794,570,45676,629,42990,810,40535,632,38972,759,38024,828,36421,417,38856,743
Georgia,53527,1679,50768,1401,49555,2009,46992,4236,48121,1504,45973,2483,44117,1822,43340,1256,46227,1164,48641,1078,49344,1210,45926,838,40984,618,42438,979,42939,1107,42576,1073,41901,831
Hawaii,72133,2510,64514,2840,71223,2676,64235,3918,56263,2255,59047,2531,59539,2731,55649,2023,61521,1481,64022,2125,60470,1571,59586,1212,56242,1690,51834,1332,47303,1371,47439,1256,51546,1193
Idaho,56564,1261,51624,1260,53438,2572,48467,5484,47922,3173,47459,3488,47050,1869,46778,1264,47420,1681,49184,1291,46213,1312,44176,1254,44358,1387,42372,982,37715,1121,38241,966,37611,1192
Illinois,61386,1761,60413,1999,54916,1625,53937,3287,51738,1328,50637,1374,50728,1474,52870,941,53254,1325,52506,950,48671,1167,48398,986,46077,823,45153,1072,42710,856,46171,879,46064,966
Indiana,56094,2877,51983,1682,48060,1943,49455,4508,46158,1787,44445,2309,46139,2573,44305,1085,46520,1185,47453,1255,45407,1236,42437,1100,42329,1151,42425,959,41047,748,40379,948,40865,679
Iowa,59094,2484,60855,3275,57810,3425,60156,6134,53442,2138,50219,1974,49016,1342,50721,1535,50142,1293,48908,1451,48126,1491,46500,1339,43391,1521,41384,884,41049,1152,40976,1133,40991,811
Kansas,56810,3268,54865,3731,53444,2863,47820,4496,50003,1812,46147,1950,46054,1816,44717,1788,47877,1410,48497,1805,45552,1252,42027,985,41066,1749,44232,1326,42619,1047,41415,1115,41059,1168
Kentucky,45369,2005,42387,2269,42786,1580,44879,3924,41086,1900,39856,1847,41104,2823,42664,1313,41148,812,39452,1211,39485,1051,36699,898,35610,1218,36936,857,36762,874,38437,1009,36265,848
Louisiana,42196,1197,45922,2140,42406,1862,46425,2543,39085,1611,40658,1929,39300,3248,45433,1813,39563,1486,41313,937,36488,1425,37236,1297,36429,1243,33507,1103,34008,1258,33322,1195,30718,828
Maine,50856,3346,50756,1929,51710,2171,54957,3863,49158,2247,49693,1983,47931,1687,47502,1739,47228,1436,47894,1398,45642,1797,43923,1433,41329,1223,37113,945,36853,846,36612,952,37266,853
