State,2013,2014,2015,2016
Alabama ,13.6,12.1,10.1,9.1
Alaska ,18.5,17.2,14.9,14.0
Arizona ,17.1,13.6,10.8,10.0
Arkansas ,16.0,11.8,9.5,7.9
California ,17.2,12.4,8.6,7.3
Colorado ,14.1,10.3,8.1,7.5
Connecticut ,9.4,6.9,6.0,4.9
Delaware ,9.1,7.8,5.9,5.7
District of Columbia ,6.7,5.3,3.8,3.9
Florida ,20.0,16.6,13.3,12.5
Georgia ,18.8,15.8,13.9,12.9
Hawaii ,6.7,5.3,4.0,3.5
Idaho ,16.2,13.6,11.0,10.1
Illinois ,12.7,9.7,7.1,6.5
Indiana ,14.0,11.9,9.6,8.1
Iowa ,8.1,6.2,5.0,4.3
Kansas ,12.3,10.2,9.1,8.7
Kentucky ,14.3,8.5,6.0,5.1
Louisiana ,16.6,14.8,11.9,10.3
Maine ,11.2,10.1,8.4,8.0
Maryland ,10.2,7.9,6.6,6.1
Massachusetts ,3.7,3.3,2.8,2.5
Michigan ,11.0,8.5,6.1,5.4
Minnesota ,8.2,5.9,4.5,4.1
Mississippi ,17.1,14.5,12.7,11.8
Missouri ,13.0,11.7,9.8,8.9
Montana ,16.5,14.2,11.6,8.1
Nebraska ,11.3,9.7,8.2,8.6
Nevada ,20.7,15.2,12.3,11.4
New Hampshire ,10.7,9.2,6.3,5.9
New Jersey ,13.2,10.9,8.7,8.0
New Mexico ,18.6,14.5,10.9,9.2
New York ,10.7,8.7,7.1,6.1
North Carolina ,15.6,13.1,11.2,10.4
North Dakota ,10.4,7.9,7.8,7.0
Ohio ,11.0,8.4,6.5,5.6
Oklahoma ,17.7,15.4,13.9,13.8
Oregon ,14.7,9.7,7.0,6.2
Pennsylvania ,9.7,8.5,6.4,5.6
Rhode Island ,11.6,7.4,5.7,4.3
South Carolina ,15.8,13.6,10.9,10.0
South Dakota ,11.3,9.8,10.2,8.7
Tennessee ,13.9,12.0,10.3,9.0
Texas ,22.1,19.1,17.1,16.6
Utah ,14.0,12.5,10.5,8.8
Vermont ,7.2,5.0,3.8,3.7
Virginia ,12.3,10.9,9.1,8.7
Washington ,14.0,9.2,6.6,6.0
West Virginia ,14.0,8.6,6.0,5.3
Wisconsin ,9.1,7.3,5.7,5.3
Wyoming ,13.4,12.0,11.5,11.5
