State,Latitude,Longitude,Year
Alabama,32.806671,-86.79113,2011
Alaska,61.370716,-152.404419,2011
Arizona,33.729759,-111.431221,2011
Arkansas,34.969704,-92.373123,2011
California,36.116203,-119.681564,2011
Colorado,39.059811,-105.311104,2011
Connecticut,41.597782,-72.755371,2011
Delaware,39.318523,-75.507141,2011
District of Columbia,38.897438,-77.026817,2011
Florida,27.766279,-81.686783,2011
Georgia,33.040619,-83.643074,2011
Hawaii,21.094318,-157.498337,2011
Idaho,44.240459,-114.478828,2011
Illinois,40.349457,-88.986137,2011
Indiana,39.849426,-86.258278,2011
Iowa,42.011539,-93.210526,2011
Kansas,38.5266,-96.726486,2011
Kentucky,37.66814,-84.670067,2011
Louisiana,31.169546,-91.867805,2011
Maine,44.693947,-69.381927,2011
Maryland,39.063946,-76.802101,2011
Massachusetts,42.230171,-71.530106,2011
Michigan,43.326618,-84.536095,2011
Minnesota,45.694454,-93.900192,2011
Mississippi,32.741646,-89.678696,2011
Missouri,38.456085,-92.288368,2011
Montana,46.921925,-110.454353,2011
Nebraska,41.12537,-98.268082,2011
Nevada,38.313515,-117.055374,2011
New Hampshire,43.452492,-71.563896,2011
New Jersey,40.298904,-74.521011,2011
New Mexico,34.840515,-106.248482,2011
New York,42.165726,-74.948051,2011
North Carolina,35.630066,-79.806419,2011
North Dakota,47.528912,-99.784012,2011
Ohio,40.388783,-82.764915,2011
Oklahoma,35.565342,-96.928917,2011
Oregon,44.572021,-122.070938,2011
Pennsylvania,40.590752,-77.209755,2011
Rhode Island,41.680893,-71.51178,2011
South Carolina,33.856892,-80.945007,2011
South Dakota,44.299782,-99.438828,2011
Tennessee,35.747845,-86.692345,2011
Texas,31.054487,-97.563461,2011
Utah,40.150032,-111.862434,2011
Vermont,44.045876,-72.710686,2011
Virginia,37.769337,-78.169968,2011
Washington,47.400902,-121.490494,2011
West Virginia,38.491226,-80.954453,2011
Wisconsin,44.268543,-89.616508,2011
Wyoming,42.755966,-107.30249,2011
Alabama,32.806671,-86.79113,2012
Alaska,61.370716,-152.404419,2012
Arizona,33.729759,-111.431221,2012
Arkansas,34.969704,-92.373123,2012
California,36.116203,-119.681564,2012
Colorado,39.059811,-105.311104,2012
Connecticut,41.597782,-72.755371,2012
Delaware,39.318523,-75.507141,2012
District of Columbia,38.897438,-77.026817,2012
Florida,27.766279,-81.686783,2012
Georgia,33.040619,-83.643074,2012
Hawaii,21.094318,-157.498337,2012
Idaho,44.240459,-114.478828,2012
Illinois,40.349457,-88.986137,2012
Indiana,39.849426,-86.258278,2012
Iowa,42.011539,-93.210526,2012
Kansas,38.5266,-96.726486,2012
Kentucky,37.66814,-84.670067,2012
Louisiana,31.169546,-91.867805,2012
Maine,44.693947,-69.381927,2012
Maryland,39.063946,-76.802101,2012
Massachusetts,42.230171,-71.530106,2012
Michigan,43.326618,-84.536095,2012
Minnesota,45.694454,-93.900192,2012
Mississippi,32.741646,-89.678696,2012
Missouri,38.456085,-92.288368,2012
Montana,46.921925,-110.454353,2012
Nebraska,41.12537,-98.268082,2012
Nevada,38.313515,-117.055374,2012
New Hampshire,43.452492,-71.563896,2012
New Jersey,40.298904,-74.521011,2012
New Mexico,34.840515,-106.248482,2012
New York,42.165726,-74.948051,2012
North Carolina,35.630066,-79.806419,2012
North Dakota,47.528912,-99.784012,2012
Ohio,40.388783,-82.764915,2012
Oklahoma,35.565342,-96.928917,2012
Oregon,44.572021,-122.070938,2012
Pennsylvania,40.590752,-77.209755,2012
Rhode Island,41.680893,-71.51178,2012
South Carolina,33.856892,-80.945007,2012
South Dakota,44.299782,-99.438828,2012
Tennessee,35.747845,-86.692345,2012
Texas,31.054487,-97.563461,2012
Utah,40.150032,-111.862434,2012
Vermont,44.045876,-72.710686,2012
Virginia,37.769337,-78.169968,2012
Washington,47.400902,-121.490494,2012
West Virginia,38.491226,-80.954453,2012
Wisconsin,44.268543,-89.616508,2012
Wyoming,42.755966,-107.30249,2012
Alabama,32.806671,-86.79113,2013
Alaska,61.370716,-152.404419,2013
Arizona,33.729759,-111.431221,2013
Arkansas,34.969704,-92.373123,2013
California,36.116203,-119.681564,2013
Colorado,39.059811,-105.311104,2013
Connecticut,41.597782,-72.755371,2013
Delaware,39.318523,-75.507141,2013
District of Columbia,38.897438,-77.026817,2013
Florida,27.766279,-81.686783,2013
Georgia,33.040619,-83.643074,2013
Hawaii,21.094318,-157.498337,2013
Idaho,44.240459,-114.478828,2013
Illinois,40.349457,-88.986137,2013
Indiana,39.849426,-86.258278,2013
Iowa,42.011539,-93.210526,2013
Kansas,38.5266,-96.726486,2013
Kentucky,37.66814,-84.670067,2013
Louisiana,31.169546,-91.867805,2013
Maine,44.693947,-69.381927,2013
Maryland,39.063946,-76.802101,2013
Massachusetts,42.230171,-71.530106,2013
Michigan,43.326618,-84.536095,2013
Minnesota,45.694454,-93.900192,2013
Mississippi,32.741646,-89.678696,2013
Missouri,38.456085,-92.288368,2013
Montana,46.921925,-110.454353,2013
Nebraska,41.12537,-98.268082,2013
Nevada,38.313515,-117.055374,2013
New Hampshire,43.452492,-71.563896,2013
New Jersey,40.298904,-74.521011,2013
New Mexico,34.840515,-106.248482,2013
New York,42.165726,-74.948051,2013
North Carolina,35.630066,-79.806419,2013
North Dakota,47.528912,-99.784012,2013
Ohio,40.388783,-82.764915,2013
Oklahoma,35.565342,-96.928917,2013
Oregon,44.572021,-122.070938,2013
Pennsylvania,40.590752,-77.209755,2013
Rhode Island,41.680893,-71.51178,2013
South Carolina,33.856892,-80.945007,2013
South Dakota,44.299782,-99.438828,2013
Tennessee,35.747845,-86.692345,2013
Texas,31.054487,-97.563461,2013
Utah,40.150032,-111.862434,2013
Vermont,44.045876,-72.710686,2013
Virginia,37.769337,-78.169968,2013
Washington,47.400902,-121.490494,2013
West Virginia,38.491226,-80.954453,2013
Wisconsin,44.268543,-89.616508,2013
Wyoming,42.755966,-107.30249,2013
Alabama,32.806671,-86.79113,2014
Alaska,61.370716,-152.404419,2014
Arizona,33.729759,-111.431221,2014
Arkansas,34.969704,-92.373123,2014
California,36.116203,-119.681564,2014
Colorado,39.059811,-105.311104,2014
Connecticut,41.597782,-72.755371,2014
Delaware,39.318523,-75.507141,2014
District of Columbia,38.897438,-77.026817,2014
Florida,27.766279,-81.686783,2014
Georgia,33.040619,-83.643074,2014
Hawaii,21.094318,-157.498337,2014
Idaho,44.240459,-114.478828,2014
Illinois,40.349457,-88.986137,2014
Indiana,39.849426,-86.258278,2014
Iowa,42.011539,-93.210526,2014
Kansas,38.5266,-96.726486,2014
Kentucky,37.66814,-84.670067,2014
Louisiana,31.169546,-91.867805,2014
Maine,44.693947,-69.381927,2014
Maryland,39.063946,-76.802101,2014
Massachusetts,42.230171,-71.530106,2014
Michigan,43.326618,-84.536095,2014
Minnesota,45.694454,-93.900192,2014
Mississippi,32.741646,-89.678696,2014
Missouri,38.456085,-92.288368,2014
Montana,46.921925,-110.454353,2014
Nebraska,41.12537,-98.268082,2014
Nevada,38.313515,-117.055374,2014
New Hampshire,43.452492,-71.563896,2014
New Jersey,40.298904,-74.521011,2014
New Mexico,34.840515,-106.248482,2014
New York,42.165726,-74.948051,2014
North Carolina,35.630066,-79.806419,2014
North Dakota,47.528912,-99.784012,2014
Ohio,40.388783,-82.764915,2014
Oklahoma,35.565342,-96.928917,2014
Oregon,44.572021,-122.070938,2014
Pennsylvania,40.590752,-77.209755,2014
Rhode Island,41.680893,-71.51178,2014
South Carolina,33.856892,-80.945007,2014
South Dakota,44.299782,-99.438828,2014
Tennessee,35.747845,-86.692345,2014
Texas,31.054487,-97.563461,2014
Utah,40.150032,-111.862434,2014
Vermont,44.045876,-72.710686,2014
Virginia,37.769337,-78.169968,2014
Washington,47.400902,-121.490494,2014
West Virginia,38.491226,-80.954453,2014
Wisconsin,44.268543,-89.616508,2014
Wyoming,42.755966,-107.30249,2014
Alabama,32.806671,-86.79113,2015
Alaska,61.370716,-152.404419,2015
Arizona,33.729759,-111.431221,2015
Arkansas,34.969704,-92.373123,2015
California,36.116203,-119.681564,2015
Colorado,39.059811,-105.311104,2015
Connecticut,41.597782,-72.755371,2015
Delaware,39.318523,-75.507141,2015
