"ID";"Year";"LocationAbbr";"LocationDesc";"Class";"Topic";"Indicator";"Response";"DataSource";"Data_Value_Unit";"Data_Value_Type";"Data_Value";"Data_Value_Footnote_Symbol";"Data_Value_Footnote";"Low_Confidence_Limit";"High_Confidence_Limit";"Sample_Size";"Stratification";"StratificationType";"IndicatorId";"LocationOrder";"ParentStateDisplayOrder";"FootnoteType";"FootNoteSymbol";"FootnoteText";"URL";"DatasourceAbbr";"Agency"
"1919289";"2011";"US";"All States, DC and Territories (median) **";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"17.5";"";"";"";"";"53";"Overall";"Overall";"ADDEPEV2";"1";"1";"";"";"";"";"";""
"1919290";"2011";"US";"All States, DC and Territories (median) **";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"82.5";"";"";"";"";"53";"Overall";"Overall";"ADDEPEV2";"1";"1";"";"";"";"";"";""
"1918495";"2011";"UW";"All States and DC (median) **";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"17.5";"";"";"";"";"51";"Overall";"Overall";"ADDEPEV2";"2";"2";"";"";"";"";"";""
"1918496";"2011";"UW";"All States and DC (median) **";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"82.5";"";"";"";"";"51";"Overall";"Overall";"ADDEPEV2";"2";"2";"";"";"";"";"";""
"1773717";"2011";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"21.2";"";"";"19.9";"22.5";"1638";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"1773718";"2011";"AL";"Alabama";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"78.8";"";"";"77.5";"80.1";"6020";"Overall";"Overall";"ADDEPEV2";"3";"3";"";"";"";"";"";""
"1777363";"2011";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"16.5";"";"";"14.8";"18.3";"608";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"1777364";"2011";"AK";"Alaska";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"83.5";"";"";"81.7";"85.2";"2902";"Overall";"Overall";"ADDEPEV2";"4";"4";"";"";"";"";"";""
"1779942";"2011";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"17.5";"";"";"15.7";"19.2";"1231";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"1779943";"2011";"AZ";"Arizona";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"82.5";"";"";"80.8";"84.3";"5217";"Overall";"Overall";"ADDEPEV2";"5";"5";"";"";"";"";"";""
"1781658";"2011";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"22.8";"";"";"20.9";"24.7";"970";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"1781659";"2011";"AR";"Arkansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"77.2";"";"";"75.3";"79.2";"3739";"Overall";"Overall";"ADDEPEV2";"6";"6";"";"";"";"";"";""
"1785384";"2011";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"12.3";"";"";"11.7";"13.0";"2321";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"1785385";"2011";"CA";"California";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"87.7";"";"";"87.0";"88.4";"14577";"Overall";"Overall";"ADDEPEV2";"7";"7";"";"";"";"";"";""
"1787480";"2011";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"17.6";"";"";"16.6";"18.5";"2425";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"1787481";"2011";"CO";"Colorado";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"82.4";"";"";"81.5";"83.4";"11115";"Overall";"Overall";"ADDEPEV2";"8";"8";"";"";"";"";"";""
"1790878";"2011";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"15.4";"";"";"14.2";"16.5";"1156";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"1790879";"2011";"CT";"Connecticut";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"84.7";"";"";"83.5";"85.8";"5640";"Overall";"Overall";"ADDEPEV2";"9";"9";"";"";"";"";"";""
"1792813";"2011";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"14.2";"";"";"12.8";"15.6";"702";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"1792814";"2011";"DE";"Delaware";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"85.8";"";"";"84.4";"87.2";"4071";"Overall";"Overall";"ADDEPEV2";"10";"10";"";"";"";"";"";""
"1796288";"2011";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"16.0";"";"";"14.4";"17.7";"755";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"1796289";"2011";"DC";"District of Columbia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"84.0";"";"";"82.3";"85.6";"3779";"Overall";"Overall";"ADDEPEV2";"11";"11";"";"";"";"";"";""
"1799093";"2011";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"16.5";"";"";"15.4";"17.5";"2254";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
"1799094";"2011";"FL";"Florida";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"83.5";"";"";"82.5";"84.6";"10057";"Overall";"Overall";"ADDEPEV2";"12";"12";"";"";"";"";"";""
"1801461";"2011";"GA";"Georgia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"14.9";"";"";"13.8";"16.0";"1491";"Overall";"Overall";"ADDEPEV2";"13";"13";"";"";"";"";"";""
"1801462";"2011";"GA";"Georgia";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"85.1";"";"";"84.0";"86.2";"8423";"Overall";"Overall";"ADDEPEV2";"13";"13";"";"";"";"";"";""
"1803647";"2011";"HI";"Hawaii";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"10.6";"";"";"9.5";"11.7";"907";"Overall";"Overall";"ADDEPEV2";"14";"14";"";"";"";"";"";""
"1803648";"2011";"HI";"Hawaii";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"89.4";"";"";"88.4";"90.5";"6664";"Overall";"Overall";"ADDEPEV2";"14";"14";"";"";"";"";"";""
"1806983";"2011";"ID";"Idaho";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"19.6";"";"";"18.1";"21.1";"1253";"Overall";"Overall";"ADDEPEV2";"15";"15";"";"";"";"";"";""
"1806984";"2011";"ID";"Idaho";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"80.4";"";"";"78.9";"81.9";"4798";"Overall";"Overall";"ADDEPEV2";"15";"15";"";"";"";"";"";""
"1810271";"2011";"IL";"Illinois";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"16.3";"";"";"14.9";"17.8";"900";"Overall";"Overall";"ADDEPEV2";"16";"16";"";"";"";"";"";""
"1810272";"2011";"IL";"Illinois";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"83.7";"";"";"82.2";"85.1";"4559";"Overall";"Overall";"ADDEPEV2";"16";"16";"";"";"";"";"";""
"1811885";"2011";"IN";"Indiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"20.8";"";"";"19.6";"22.0";"1717";"Overall";"Overall";"ADDEPEV2";"17";"17";"";"";"";"";"";""
"1811886";"2011";"IN";"Indiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"79.3";"";"";"78.1";"80.5";"6733";"Overall";"Overall";"ADDEPEV2";"17";"17";"";"";"";"";"";""
"1814979";"2011";"IA";"Iowa";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"15.2";"";"";"14.1";"16.2";"1074";"Overall";"Overall";"ADDEPEV2";"18";"18";"";"";"";"";"";""
"1814980";"2011";"IA";"Iowa";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"84.8";"";"";"83.8";"85.9";"6248";"Overall";"Overall";"ADDEPEV2";"18";"18";"";"";"";"";"";""
"1817602";"2011";"KS";"Kansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"15.9";"";"";"15.2";"16.5";"3360";"Overall";"Overall";"ADDEPEV2";"19";"19";"";"";"";"";"";""
"1817603";"2011";"KS";"Kansas";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"84.1";"";"";"83.5";"84.8";"17270";"Overall";"Overall";"ADDEPEV2";"19";"19";"";"";"";"";"";""
"1821050";"2011";"KY";"Kentucky";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"19.7";"";"";"18.5";"20.9";"2213";"Overall";"Overall";"ADDEPEV2";"20";"20";"";"";"";"";"";""
"1821051";"2011";"KY";"Kentucky";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"80.3";"";"";"79.1";"81.6";"8616";"Overall";"Overall";"ADDEPEV2";"20";"20";"";"";"";"";"";""
"1823184";"2011";"LA";"Louisiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"Yes";"BRFSS";"%";"Crude Prevalence";"18.1";"";"";"16.9";"19.2";"1982";"Overall";"Overall";"ADDEPEV2";"21";"21";"";"";"";"";"";""
"1823185";"2011";"LA";"Louisiana";"Chronic Health Indicators";"Depression";"Ever told you that you have a form of depression?";"No";"BRFSS";"%";"Crude Prevalence";"81.9";"";"";"80.8";"83.1";"8911";"Overall";"Overall";"ADDEPEV2";"21";"21";"";"";"";"";"";""
