,LocationDesc,Data_Value,Year
0,Alabama,21.2,2011
1,Alaska,16.5,2011
2,Arizona,17.5,2011
3,Arkansas,22.8,2011
4,California,12.3,2011
5,Colorado,17.6,2011
6,Connecticut,15.4,2011
7,Delaware,14.2,2011
8,District of Columbia,16.0,2011
9,Florida,16.5,2011
10,Georgia,14.9,2011
11,Hawaii,10.6,2011
12,Idaho,19.6,2011
13,Illinois,16.3,2011
14,Indiana,20.8,2011
15,Iowa,15.2,2011
16,Kansas,15.9,2011
17,Kentucky,19.7,2011
18,Louisiana,18.1,2011
19,Maine,24.4,2011
20,Maryland,13.6,2011
21,Massachusetts,16.7,2011
22,Michigan,20.7,2011
23,Minnesota,15.1,2011
24,Mississippi,18.9,2011
25,Missouri,20.1,2011
26,Montana,20.5,2011
27,Nebraska,16.9,2011
28,Nevada,15.8,2011
29,New Hampshire,21.8,2011
30,New Jersey,11.1,2011
31,New Mexico,20.4,2011
32,New York,15.9,2011
33,North Carolina,17.5,2011
34,North Dakota,17.3,2011
35,Ohio,17.7,2011
36,Oklahoma,21.9,2011
37,Oregon,23.9,2011
38,Pennsylvania,19.3,2011
39,Rhode Island,22.0,2011
40,South Carolina,15.3,2011
41,South Dakota,16.4,2011
42,Tennessee,19.2,2011
43,Texas,16.6,2011
44,Utah,22.0,2011
45,Vermont,23.0,2011
46,Virginia,14.1,2011
47,Washington,19.7,2011
48,West Virginia,20.1,2011
49,Wisconsin,14.8,2011
50,Wyoming,19.0,2011
0,Alabama,21.9,2012
1,Alaska,16.9,2012
2,Arizona,18.8,2012
3,Arkansas,22.2,2012
4,California,11.7,2012
5,Colorado,17.4,2012
6,Connecticut,16.7,2012
7,Delaware,14.8,2012
8,District of Columbia,16.3,2012
9,Florida,16.9,2012
10,Georgia,16.7,2012
11,Hawaii,11.5,2012
12,Idaho,19.9,2012
13,Illinois,15.0,2012
14,Indiana,19.5,2012
15,Iowa,17.0,2012
16,Kansas,16.5,2012
17,Kentucky,23.5,2012
18,Louisiana,17.2,2012
19,Maine,22.7,2012
20,Maryland,14.2,2012
21,Massachusetts,18.9,2012
22,Michigan,20.6,2012
23,Minnesota,17.1,2012
24,Mississippi,18.4,2012
25,Missouri,20.1,2012
26,Montana,20.0,2012
27,Nebraska,16.8,2012
28,Nevada,16.3,2012
29,New Hampshire,19.7,2012
30,New Jersey,13.0,2012
31,New Mexico,19.9,2012
32,New York,14.8,2012
33,North Carolina,17.6,2012
34,North Dakota,15.0,2012
35,Ohio,18.9,2012
36,Oklahoma,21.9,2012
37,Oregon,23.4,2012
38,Pennsylvania,18.0,2012
39,Rhode Island,20.3,2012
40,South Carolina,18.0,2012
41,South Dakota,15.3,2012
42,Tennessee,20.2,2012
43,Texas,15.5,2012
44,Utah,21.0,2012
45,Vermont,21.9,2012
46,Virginia,16.6,2012
47,Washington,22.3,2012
48,West Virginia,20.9,2012
49,Wisconsin,16.1,2012
50,Wyoming,18.0,2012
0,Alabama,21.8,2013
1,Alaska,16.3,2013
2,Arizona,18.1,2013
3,Arkansas,23.1,2013
4,California,13.1,2013
5,Colorado,18.2,2013
6,Connecticut,17.5,2013
7,Delaware,17.7,2013
8,District of Columbia,20.9,2013
9,Florida,16.8,2013
10,Georgia,17.3,2013
11,Hawaii,11.4,2013
