State,Rate,year
Alabama,,2011
Alaska,,2011
Arizona,,2011
Arkansas,,2011
California,,2011
Colorado,,2011
Connecticut,,2011
Delaware,,2011
District of Columbia,,2011
Florida,,2011
Georgia,,2011
Hawaii,,2011
Idaho,,2011
Illinois,,2011
Indiana,,2011
Iowa,,2011
Kansas,,2011
Kentucky,,2011
Louisiana,,2011
Maine,,2011
Maryland,,2011
Massachusetts,,2011
Michigan,,2011
Minnesota,,2011
Mississippi,,2011
Missouri,,2011
Montana,,2011
Nebraska,,2011
Nevada,,2011
New Hampshire,,2011
New Jersey,,2011
New Mexico,,2011
New York,,2011
North Carolina,,2011
North Dakota,,2011
Ohio,,2011
Oklahoma,,2011
Oregon,,2011
Pennsylvania,,2011
Rhode Island,,2011
South Carolina,,2011
South Dakota,,2011
Tennessee,,2011
Texas,,2011
Utah,,2011
Vermont,,2011
Virginia,,2011
Washington,,2011
West Virginia,,2011
Wisconsin,,2011
Wyoming,,2011
Alabama,8,2012
Alaska,7.1,2012
Arizona,8.3,2012
Arkansas,7.6,2012
California,10.4,2012
Colorado,7.9,2012
Connecticut,8.3,2012
Delaware,7.2,2012
District of Columbia,9,2012
Florida,8.5,2012
Georgia,9.2,2012
Hawaii,6,2012
Idaho,7.2,2012
Illinois,9,2012
Indiana,8.3,2012
Iowa,5,2012
Kansas,5.7,2012
Kentucky,8.2,2012
Louisiana,7.1,2012
Maine,7.5,2012
Maryland,7,2012
Massachusetts,6.7,2012
Michigan,9.1,2012
Minnesota,5.6,2012
Mississippi,9,2012
Missouri,6.9,2012
Montana,6,2012
Nebraska,4,2012
Nevada,11.2,2012
New Hampshire,5.5,2012
New Jersey,9.3,2012
New Mexico,7.1,2012
New York,8.5,2012
North Carolina,9.3,2012
North Dakota,3.1,2012
Ohio,7.4,2012
Oklahoma,5.2,2012
Oregon,8.8,2012
Pennsylvania,7.8,2012
Rhode Island,10.4,2012
South Carolina,9.2,2012
South Dakota,4.3,2012
Tennessee,7.8,2012
Texas,6.7,2012
Utah,5.4,2012
Vermont,5,2012
Virginia,6.1,2012
Washington,8.1,2012
West Virginia,7.5,2012
Wisconsin,7,2012
Wyoming,5.3,2012
Alabama,7.2,2013
